customer_id,first_name,last_name,email,phone,birth_date,gender,city,state,region_id,registration_date,customer_segment
50,Ana Vitória,da Luz,joao-lucassiqueira@example.net,+55 19 8326-8379,1975-11-30,M,Pacheco das Pedras,RS,1,2025-02-24,Bronze
51,Nicole,Novais,varagao@example.net,+55 44 8741-2382,2003-06-17,F,Viana,ES,1,2023-09-15,Bronze
52,Yago,Correia,qteixeira@example.net,+55 53 4692-9945,2002-11-16,F,Peixoto,SE,5,2025-07-06,Prata
53,Rhavi,Cassiano,ppeixoto@example.com,84 4787-3942,1975-01-18,M,Garcia,DF,5,2026-06-07,Bronze
54,Lara,Pereira,ravi99@example.org,44 6087-2066,1962-08-06,M,Moraes,AP,1,2024-05-13,Bronze
55,Marcelo,Oliveira,davi-luizda-rocha@example.org,71 8074-6111,1957-11-22,M,Jesus,AM,4,2025-06-15,Bronze
56,Leandro,Novais,pietrasilveira@example.net,92 0687-0310,2002-09-01,M,Porto,MT,5,2024-06-30,Bronze
57,Leonardo,Fernandes,luiz-henrique86@example.com,28 3761-5811,1963-08-30,M,Freitas,AM,4,2025-04-11,Ouro
58,Ana Clara,Silva,elisapereira@example.net,+55 63 0683-6187,1958-10-31,F,Silva da Prata,AC,2,2025-07-31,Ouro
59,Elisa,Moraes,bellanunes@example.com,14 5758-4143,1992-10-29,M,Silveira da Mata,AP,3,2024-06-04,Platinum
60,Maria Fernanda,Santos,emendes@example.net,+55 85 4570-4151,2004-09-13,M,Vargas,GO,3,2025-04-06,Platinum
61,Melina,Borges,kmacedo@example.com,+55 71 8906-8319,1975-11-24,F,Macedo,MG,1,2025-06-15,Bronze
62,Luiz Gustavo,Andrade,liamda-rosa@example.net,31 6083-8446,1965-09-25,F,Guerra,AP,5,2023-11-22,Bronze
63,Daniel,Camargo,maria-eduardacavalcanti@example.com,+55 53 5080-1964,1976-02-12,M,Barbosa do Campo,MT,5,2024-09-05,Prata
64,Renan,Melo,gabrielada-cunha@example.org,0900 296 5922,1997-03-08,F,Moreira,RR,2,2025-01-31,Ouro
65,Yasmin,Cardoso,bsales@example.org,+55 17 4560-6389,1958-09-26,M,Almeida de Santos,PI,2,2025-06-17,Ouro
66,Davi,Martins,cecilia51@example.net,13 9625-8589,1973-08-24,F,das Neves,RO,2,2026-02-17,Platinum
67,Levi,Cavalcante,pedro-lucas52@example.net,+55 85 5464-7879,1957-05-23,F,Gonçalves Alegre,GO,5,2025-03-03,Bronze
68,Gustavo Henrique,Mendonça,pimentakamilly@example.com,99 3871-5453,1992-07-05,F,Almeida da Praia,RR,1,2026-03-09,Prata
69,Enrico,Pastor,araujovitor@example.org,99 2449-6654,1979-01-25,F,Ramos das Pedras,DF,1,2024-07-26,Bronze
70,Diego,Rocha,lda-rocha@example.net,+55 68 7757-6399,1956-07-23,M,da Luz das Pedras,PR,3,2023-11-14,Ouro
71,Sophie,Nunes,fernandesemanuella@example.com,+55 96 7011-5977,2006-08-25,M,Lima,GO,3,2024-12-31,Prata
72,Manuella,Castro,vasconceloskamilly@example.com,+55 31 4336-4449,2008-05-05,F,Correia,RJ,5,2024-06-02,Platinum
73,Benjamim,Novaes,luaraleao@example.net,91 4489-1591,1995-12-14,F,Novaes,TO,1,2024-04-16,Bronze
74,Gustavo Henrique,Albuquerque,cardosobianca@example.net,+55 45 5865-0303,1974-12-20,F,Gonçalves de Gonçalves,PI,3,2023-12-08,Bronze
75,Vitor Gabriel,Novaes,danielapimenta@example.net,61 6722-3379,1983-08-15,M,Souza,AP,3,2025-05-26,Prata
76,Pietra,Mendonça,eloahfogaca@example.net,33 4595-1429,1968-07-20,F,Aragão do Amparo,AL,2,2025-11-08,Platinum
77,Luiz Miguel,da Conceição,icorreia@example.com,55 0126-8335,1957-05-09,F,da Rocha de Minas,SC,5,2026-02-07,Bronze
78,Brenda,Pinto,enrico46@example.org,+55 68 7986-4387,2008-01-22,M,Macedo da Prata,RN,1,2025-01-13,Prata
79,Kaique,Ramos,raelazevedo@example.org,74 4099-5148,1993-12-30,M,Gomes do Campo,BA,3,2025-05-24,Prata
80,João Guilherme,Martins,maria-vitoriada-costa@example.org,+55 33 2393-1833,2004-12-26,F,Melo,ES,2,2024-04-20,Bronze
81,Gabriela,Abreu,luiz-gustavo93@example.com,+55 11 1978-1377,1968-09-19,F,Fernandes,PE,3,2025-12-13,Bronze
82,Bella,Rodrigues,nina08@example.net,89 5553-8518,1967-07-02,F,Barros,PB,2,2026-06-08,Prata
83,Larissa,Andrade,luara76@example.net,73 5904-8989,2002-04-07,M,Rezende de Rodrigues,AC,3,2023-08-22,Platinum
84,Ana Luiza,Vieira,pietramartins@example.com,96 1092-5088,1989-10-13,M,Pastor,AC,2,2025-01-30,Prata
85,Laís,da Luz,thales04@example.org,64 5211-2129,1963-08-17,M,Cardoso,SC,4,2025-08-27,Bronze
86,Emanuelly,Melo,franciscopimenta@example.net,+55 75 4244-0967,1966-06-04,M,Novais dos Dourados,PR,3,2024-09-26,Platinum
87,Nicole,Peixoto,mporto@example.org,71 5495-9583,1988-12-06,M,Porto das Flores,SE,3,2026-06-22,Prata
88,Fernanda,Pimenta,kazevedo@example.com,27 2604-3501,2006-07-28,M,Oliveira de Minas,RO,4,2026-04-13,Bronze
89,Josué,Azevedo,isaac35@example.org,91 4007-2422,1996-09-10,F,Alves da Prata,DF,2,2024-04-11,Prata
90,João,Montenegro,vmartins@example.net,+55 53 0491-8480,1967-07-13,F,Sá da Mata,RN,3,2024-10-11,Ouro
91,Ana Laura,da Cunha,fernandesluiza@example.com,+55 92 4104-1046,1966-12-24,M,Rocha de Cirino,PI,2,2025-07-30,Bronze
92,Ana Laura,Nogueira,acamara@example.com,37 9147-7080,2006-09-06,M,Vasconcelos,MA,4,2023-12-25,Ouro
93,Théo,Garcia,ianvargas@example.com,33 8801-0603,1965-05-14,F,Pereira da Mata,AP,1,2025-09-03,Ouro
94,Pedro Miguel,Cavalcanti,kcirino@example.org,+55 66 1043-9856,1974-12-14,F,Rocha,RN,5,2024-04-23,Platinum
95,Murilo,Sales,riosleo@example.com,28 9325-0584,1963-05-19,F,Novaes Alegre,GO,1,2026-02-06,Bronze
96,Fernanda,Guerra,maria-luizarodrigues@example.org,+55 16 9107-9928,1972-04-03,F,Moreira da Mata,SE,2,2024-12-31,Ouro
97,Cecília,Montenegro,domalmeida@example.net,49 5309-2015,1991-02-06,M,Castro Alegre,ES,1,2025-08-14,Platinum
98,Benicio,Aragão,xguerra@example.com,22 8189-7813,1963-04-07,F,Moura,CE,3,2025-07-19,Platinum
99,Joaquim,Nascimento,vcampos@example.com,28 9330-8264,1978-09-24,M,Barbosa,PI,4,2024-01-30,Prata
100,Francisco,Moraes,aylla84@example.com,12 1137-8562,2008-03-28,F,Almeida,PE,1,2025-09-06,Platinum
101,Manuella,Lima,oliveiralucca@example.com,+55 96 9839-6270,1967-11-13,M,Correia,PB,5,2023-12-29,Prata
102,Enzo,Campos,ucarvalho@example.net,86 6600-9921,1977-12-27,F,Fogaça,BA,4,2026-03-20,Bronze
103,Ana Carolina,Moraes,manuelamendonca@example.net,73 5673-3703,1982-05-12,F,Borges da Serra,PR,5,2024-01-28,Ouro
104,Brayan,Macedo,brayan40@example.org,32 8615-3825,1959-11-21,M,da Cruz de Costela,MS,3,2026-07-16,Ouro
105,Erick,Jesus,matteo79@example.com,87 9740-7748,1992-08-21,F,Correia da Serra,AC,3,2024-02-19,Platinum
106,Maria Eduarda,Cunha,jesusmaria-isis@example.com,22 6431-8317,2006-05-01,F,Teixeira,TO,5,2024-11-03,Prata
107,Giovanna,Souza,juan94@example.com,+55 67 2517-2007,1959-12-10,M,Moreira Grande,PI,4,2024-07-28,Platinum
108,Alícia,Costela,barbara87@example.org,+55 37 4622-7563,1981-03-15,M,Pereira,RO,5,2023-08-20,Ouro
109,Maria Helena,Silva,upinto@example.com,48 5134-5298,1958-05-06,F,Castro de Mendonça,PA,5,2025-07-07,Bronze
110,Olivia,Guerra,gabrielly94@example.org,+55 28 5737-5649,1991-07-29,F,Ribeiro,AC,3,2025-03-15,Prata
111,Cecília,Pires,pachecoenzo@example.org,+55 98 8063-8414,1962-03-07,F,Carvalho,AL,5,2025-11-22,Ouro
112,Sofia,da Cunha,gsantos@example.org,+55 37 5883-3038,1977-05-13,F,Dias,SP,4,2025-10-03,Platinum
113,Clarice,Moraes,saravi-lucca@example.net,42 0902-0649,1975-09-19,M,Santos,CE,5,2025-02-03,Platinum
114,Gustavo,Rocha,vitor-hugoandrade@example.net,+55 81 4551-5626,1968-04-28,M,Vasconcelos,PB,1,2025-01-08,Ouro
115,João Miguel,Castro,da-mataana-beatriz@example.com,+55 97 7488-1306,1980-10-16,F,Peixoto,SP,1,2024-03-14,Prata
116,Caroline,Alves,amendonca@example.org,+55 27 8012-5611,1995-06-25,F,Montenegro de Gomes,AL,2,2023-08-30,Prata
117,Nathan,Pires,correiaolivia@example.org,69 5593-6172,1987-08-23,M,Rezende,GO,1,2024-03-06,Bronze
118,Otto,Moura,caldeiraeloa@example.net,+55 18 0196-4397,2000-07-29,M,Fernandes de Almeida,GO,4,2026-02-07,Bronze
119,Lorenzo,Correia,samuelgoncalves@example.net,+55 91 9281-0291,1971-07-05,F,Carvalho do Oeste,PR,4,2025-04-18,Prata
120,Yuri,Mendonça,monteiroalana@example.org,+55 94 7973-8533,1966-02-03,F,Rios,PI,4,2025-11-01,Platinum
121,Caio,Rezende,ybarros@example.org,47 9418-1142,1970-01-18,M,Andrade,AM,2,2024-07-26,Bronze
122,Yan,Sá,luanamachado@example.net,+55 81 0083-4934,2001-11-15,M,Monteiro do Oeste,RN,4,2025-06-04,Prata
123,Mariana,Leão,fernandogomes@example.net,67 6283-5860,1994-05-04,M,Cunha,RJ,5,2026-04-29,Platinum
124,Ravi,Souza,ceciliaoliveira@example.net,35 5551-1607,2004-09-28,M,Pastor,MT,5,2023-10-19,Prata
125,Enzo Gabriel,Teixeira,hdias@example.org,92 9000-4726,1992-10-05,M,Lima Alegre,PA,4,2025-11-15,Prata
126,Joana,Montenegro,costelanoah@example.org,+55 61 3332-2520,1969-06-02,F,Leão,SE,5,2024-02-04,Ouro
127,Sophia,Borges,ycaldeira@example.com,+55 33 2208-4367,1963-02-24,F,Nogueira dos Dourados,RO,5,2026-01-04,Platinum
128,Noah,Garcia,carvalhomaria-helena@example.com,+55 42 0988-4382,1994-06-11,F,Aparecida do Sul,SC,2,2024-09-07,Platinum
129,Sarah,Cirino,silveirarafael@example.com,+55 32 8563-6135,1990-01-27,F,Castro de da Luz,ES,3,2025-03-23,Prata
130,Isabela,Rocha,luanapimenta@example.com,67 0638-0906,2003-04-17,F,Fernandes da Mata,MS,5,2024-04-14,Platinum
131,Juan,da Cunha,andradepietro@example.com,+55 61 1681-4608,1970-09-26,M,Casa Grande,MA,3,2024-10-26,Platinum
132,Vinícius,Melo,raquel48@example.com,84 1314-8311,1965-07-11,M,Jesus do Sul,TO,3,2024-03-08,Prata
133,Valentim,Dias,gustavo-henrique58@example.net,+55 48 7924-8142,1965-07-18,F,da Costa,SP,3,2026-02-05,Ouro
134,Alice,Alves,wnogueira@example.net,+55 42 0705-8201,2001-05-22,M,da Luz,ES,2,2026-05-06,Prata
135,Maria Luísa,Siqueira,da-cunhaemanuel@example.net,16 4812-8412,1983-06-03,M,Jesus,RO,4,2024-07-06,Prata
136,Lorena,Aparecida,hvieira@example.org,+55 82 5389-3346,1957-12-16,M,Câmara,BA,1,2025-03-15,Platinum
137,Heitor,Monteiro,ksilva@example.net,+55 46 6471-7583,1956-10-10,F,Câmara,RN,3,2025-11-10,Platinum
138,Emilly,Sá,ana-julia97@example.org,+55 64 7020-1747,1982-01-18,F,Andrade da Prata,RR,1,2025-10-21,Prata
139,Sophie,Viana,maria-juliapimenta@example.net,+55 48 1405-7538,2004-09-19,F,Sampaio,PI,4,2026-07-31,Bronze
140,Guilherme,Barros,ugoncalves@example.net,43 2955-8083,2002-01-01,F,Silva,SP,4,2025-09-04,Bronze
141,Davi,Garcia,calebdias@example.net,+55 98 5439-4623,1961-10-02,F,Montenegro de Goiás,RN,3,2025-11-28,Platinum
142,Liz,Correia,alexia36@example.com,+55 17 6063-6617,1988-06-20,F,da Rosa,SP,5,2024-07-29,Prata
143,Brenda,Vargas,ian32@example.net,+55 95 2216-3334,1980-06-25,F,Rios,AP,2,2026-06-28,Ouro
144,Anna Liz,Marques,davi-miguel66@example.net,+55 54 8572-6043,1971-03-23,F,da Mota,MG,4,2025-11-24,Bronze
145,Davi Luiz,Souza,nunesbenjamin@example.com,+55 28 6185-6221,1956-08-27,F,Macedo do Galho,MS,3,2023-11-21,Platinum
146,Heitor,Gonçalves,ana-claracostela@example.com,93 8548-6980,1989-01-05,M,Aragão,RN,4,2023-09-13,Prata
147,Isaac,Lima,theonovaes@example.com,+55 17 1594-1267,1999-01-08,M,da Rocha Grande,BA,4,2023-10-08,Bronze
148,Sabrina,Sá,laviniasa@example.com,85 9392-0616,2006-01-20,M,Silveira de Novaes,RO,4,2025-01-21,Prata
149,Enzo Gabriel,Pires,davi80@example.net,32 4213-3714,1995-08-31,F,Fogaça das Flores,DF,2,2026-04-08,Bronze
150,Nina,Pastor,bianca24@example.com,75 5773-7293,1981-07-26,F,Peixoto,RN,4,2025-04-30,Ouro
151,Ana Clara,Cavalcanti,apollo34@example.net,89 2098-2452,1990-11-18,M,Rocha,RN,4,2025-09-11,Ouro
152,Bruno,Siqueira,fda-cruz@example.org,14 5016-4788,1981-08-17,F,Cavalcanti,PR,4,2025-12-17,Ouro
153,Alexandre,Teixeira,luisalima@example.com,+55 19 6712-8931,1989-04-25,F,Cavalcanti,AM,3,2025-02-05,Bronze
154,Benjamin,Teixeira,mendesisaque@example.net,+55 21 3420-2872,1958-12-20,F,Porto da Praia,RJ,1,2023-09-22,Bronze
155,Ana Lívia,Farias,guilhermemendes@example.com,68 3209-8813,1970-10-18,F,Leão de Pacheco,MT,2,2024-03-13,Bronze
156,Bruno,Gonçalves,jcardoso@example.org,+55 63 9853-7040,1957-10-24,M,Monteiro das Flores,PR,1,2026-06-04,Prata
157,Rhavi,Cardoso,leandro81@example.net,66 3880-6609,1967-05-18,M,Cavalcanti,PR,1,2025-08-23,Prata
158,Lucas,Cassiano,acunha@example.net,84 8594-1633,1973-09-22,M,Nogueira,MS,2,2024-08-13,Platinum
159,Elisa,Sampaio,sophie05@example.com,15 0320-2931,1974-09-24,M,Abreu do Sul,PB,5,2026-02-14,Prata
160,Marcelo,Ribeiro,rodrigo39@example.net,41 5411-5861,1986-10-25,F,Camargo do Campo,SC,3,2025-07-10,Ouro
161,Benjamim,Carvalho,heloisa87@example.org,+55 73 4746-7021,1962-06-09,M,Albuquerque de das Neves,PR,5,2024-03-03,Bronze
162,Milena,Rios,mda-rocha@example.org,+55 99 9116-2083,1966-01-19,M,Gonçalves dos Dourados,AL,3,2024-06-29,Bronze
163,Isaac,Nascimento,isabeldas-neves@example.org,43 3643-5716,1976-08-19,M,Castro Verde,MA,3,2026-07-03,Platinum
164,Henrique,Sá,eguerra@example.com,95 6947-9366,1955-09-28,F,Campos de da Rocha,PI,2,2024-05-02,Bronze
165,Heitor,Costa,garciapedro-miguel@example.org,18 8403-5911,1990-08-01,M,Barros,GO,1,2025-10-16,Ouro
166,Ryan,Marques,zcamargo@example.com,+55 13 6305-2038,1964-10-29,M,Nunes,PA,5,2025-12-14,Bronze
167,Milena,Guerra,qcavalcanti@example.com,+55 64 7047-4768,1983-04-25,F,Vieira de Minas,RJ,5,2026-02-09,Platinum
168,Brenda,Barros,teixeiravitor-hugo@example.net,+55 86 7493-9019,1977-10-08,F,Cavalcante,PI,1,2024-11-11,Ouro
169,Pietro,Caldeira,macedolais@example.com,+55 54 6447-8184,1987-11-13,M,Viana das Flores,AP,4,2026-07-09,Platinum
170,Calebe,Ramos,anagoncalves@example.com,0300 837 8206,1996-03-19,M,Carvalho das Pedras,AM,4,2024-07-08,Ouro
171,Ana Cecília,Silveira,maria-claramoura@example.net,87 4543-0435,1983-06-26,F,Nogueira,RO,2,2026-03-06,Platinum
172,Maria Laura,Moraes,liam77@example.net,38 0774-7285,1992-09-28,M,Rios,MT,5,2025-03-21,Ouro
173,Gustavo Henrique,Siqueira,bruno80@example.org,41 2517-1351,1963-01-15,F,Melo do Sul,PA,4,2023-10-03,Platinum
174,Diego,Barbosa,yfarias@example.org,+55 33 4820-7334,1958-12-07,F,Gomes,AP,3,2025-09-27,Prata
175,Pietra,Montenegro,renanmacedo@example.net,98 8512-0069,1963-08-09,M,Costa de Albuquerque,AL,3,2026-03-02,Platinum
176,Yago,Novaes,riosdaniela@example.org,+55 67 0811-1709,1990-12-12,M,Garcia do Norte,RN,4,2024-09-26,Platinum
177,Ana Sophia,Porto,maria-juliamoura@example.com,+55 99 4992-4464,1999-01-19,F,Monteiro,RN,1,2026-05-05,Platinum
178,Nathan,Garcia,limapedro-henrique@example.org,+55 89 0233-3684,1972-06-01,F,Cavalcanti de Gomes,PB,2,2026-06-28,Platinum
179,Lara,Silva,rpinto@example.org,13 2419-9808,1956-05-08,M,Peixoto do Sul,RR,3,2024-03-13,Ouro
180,Antony,Moura,maria-julianascimento@example.org,65 8254-5775,1970-03-14,F,Aragão,SC,3,2025-03-13,Ouro
181,Amanda,Duarte,pereiraandre@example.com,45 8309-2139,1978-12-18,M,Silva de Rocha,AM,5,2023-12-15,Prata
182,Isis,da Costa,liviapastor@example.net,+55 42 0011-5937,1989-08-21,M,Fogaça,PR,2,2025-04-28,Platinum
183,Ester,Souza,limaalexia@example.com,63 2844-4886,1957-09-15,F,Garcia,PE,5,2025-05-04,Prata
184,Milena,da Rocha,ana-liviasales@example.com,+55 73 6565-4733,1958-05-29,F,Barros Paulista,RR,4,2026-04-27,Platinum
185,Nicolas,Ribeiro,carlos-eduardo99@example.com,81 2866-0744,1981-08-01,M,Pinto de Goiás,BA,1,2026-04-21,Ouro
186,Emanuelly,Nogueira,ravi-lucca19@example.org,83 7839-0395,1995-06-08,M,Souza,RO,4,2024-07-01,Prata
187,Ana Cecília,Almeida,drios@example.net,13 1401-7936,1979-10-24,F,da Paz,SE,5,2026-07-18,Ouro
188,Camila,Brito,oferreira@example.net,33 4106-4550,1967-10-23,F,Moraes de Goiás,SP,5,2025-07-30,Ouro
189,Heloisa,da Paz,pedro-lucas97@example.net,+55 13 4279-0105,1971-06-28,F,Cavalcante de Souza,MA,5,2026-04-10,Ouro
190,Mariana,Rodrigues,caldeirabenjamim@example.org,+55 98 5440-3620,1994-12-09,F,Câmara,MA,4,2023-08-13,Ouro
191,Alexia,Macedo,pereiraluna@example.net,38 6681-8128,1972-08-27,F,Moura do Campo,DF,3,2025-01-21,Prata
192,Arthur Miguel,Sousa,antonellavargas@example.com,11 5145-3948,1975-05-10,M,Moura,AP,2,2025-09-26,Ouro
193,Isabela,Freitas,pimentamariane@example.org,+55 18 3534-3502,1970-04-08,M,Cassiano de Cardoso,PI,5,2024-03-02,Prata
194,Luiza,Casa Grande,valentimsantos@example.net,32 1671-7651,1993-11-22,M,Moura,CE,2,2025-10-17,Platinum
195,Lavínia,Nascimento,kda-cunha@example.org,27 4184-0015,1993-10-18,F,Pereira de Marques,SP,5,2024-01-10,Ouro
196,Henrique,Rocha,emillyfreitas@example.com,12 4287-2060,1961-12-30,M,Pereira de Ribeiro,RJ,2,2025-11-03,Ouro
197,Dom,Garcia,macedoleo@example.org,53 7782-6218,1971-09-26,M,Rodrigues,RO,3,2026-05-21,Prata
198,Emilly,da Conceição,levipastor@example.net,+55 44 6068-3047,1992-09-30,F,Marques Verde,RS,1,2023-10-23,Prata
199,Marcos Vinicius,Sampaio,ramosjoao-pedro@example.net,32 6336-5901,1982-02-20,F,Nogueira do Campo,PE,1,2026-04-03,Bronze
200,Anthony Gabriel,Souza,caleb17@example.org,+55 43 6729-0043,1973-04-12,F,Rodrigues,GO,2,2026-06-03,Platinum
201,Mathias,Souza,eloah33@example.net,+55 99 7826-5810,1977-02-12,M,Aragão,ES,1,2025-10-13,Ouro
202,Melina,Garcia,gmendes@example.org,+55 12 0434-7165,2007-01-26,F,Rios,DF,4,2025-06-19,Platinum
203,Isaac,Machado,abreulivia@example.net,+55 88 6647-3049,1987-06-23,F,Leão de Castro,MG,2,2025-04-24,Bronze
204,Asafe,Sá,cirinobianca@example.com,+55 16 6704-0686,1981-08-28,F,Lima do Norte,MS,4,2025-07-24,Bronze
205,Pietro,Rios,thales12@example.com,0300 904 6309,2007-04-01,M,Araújo Alegre,DF,4,2023-11-26,Platinum
206,Cauê,Aparecida,manuellaalbuquerque@example.org,66 9009-9847,1987-07-24,M,das Neves dos Dourados,MA,5,2025-10-28,Bronze
207,Maya,Guerra,josepires@example.org,16 2703-2152,2007-10-17,M,Farias de Cassiano,TO,2,2026-01-28,Ouro
208,Ísis,Pastor,matheusalmeida@example.net,71 3027-6546,1977-12-26,M,Pereira de Borges,DF,2,2026-07-16,Bronze
209,João Lucas,Ferreira,antonella74@example.org,35 0963-9266,2000-10-18,F,Araújo da Praia,BA,5,2024-11-02,Prata
